Government,France, Amarilla , None ,2750.0,260.00,350.00,962500.00,0.00,962500.00,715000.00,247500.00,2/1/2014,2, February 
Government,France, Amarilla , None ,2750.0,260.00,350.00,962500.00,0.00,962500.00,715000.00,247500.00,2/1/2014,2, February 
Government,France, Amarilla , None ,2750.0,260.00,350.00,962500.00,0.00,962500.00,715000.00,247500.00,2/1/2014,2, February 
Government,France, Amarilla , None ,2750.0,260.00,350.00,962500.00,0.00,962500.00,715000.00,247500.00,2/1/2014,2, February 
Government,Germany, Amarilla , Low ,1907.0,260.00,350.00,667450.00,26698.00,640752.00,495820.00,144932.00,9/1/2014,9, September 
Government,Germany, Montana , Low ,1797.0,5.00,350.00,628950.00,18868.50,610081.50,467220.00,142861.50,9/1/2013,9, September 
Government,Germany, Carretera , None ,1513.0,3.00,350.00,529550.00,0.00,529550.00,393380.00,136170.00,12/1/2014,12, December 
Government,Germany, Paseo , None ,1513.0,10.00,350.00,529550.00,0.00,529550.00,393380.00,136170.00,12/1/2014,12, December 
Government,Germany, Paseo , Medium ,2146.0,10.00,350.00,751100.00,60088.00,691012.00,557960.00,133052.00,11/1/2013,11, November 
Government,Germany, VTT , High ,1870.0,250.00,350.00,654500.00,65450.00,589050.00,486200.00,102850.00,12/1/2013,12, December 
Government,Germany, Montana , Medium ,1460.0,5.00,350.00,511000.00,30660.00,480340.00,379600.00,100740.00,5/1/2014,5, May 
Government,Germany, Amarilla , Medium ,1350.0,260.00,350.00,472500.00,23625.00,448875.00,351000.00,97875.00,2/1/2014,2, February 
Government,Germany, Paseo , None ,1006.0,10.00,350.00,352100.00,0.00,352100.00,261560.00,90540.00,6/1/2014,6, June 
Government,Germany, Velo , None ,1006.0,120.00,350.00,352100.00,0.00,352100.00,261560.00,90540.00,6/1/2014,6, June 
Small Business,Germany, Carretera , Low ,2021.0,3.00,300.00,606300.00,24252.00,582048.00,505250.00,76798.00,10/1/2014,10, October 
Small Business,Germany, Montana , Low ,2021.0,5.00,300.00,606300.00,24252.00,582048.00,505250.00,76798.00,10/1/2014,10, October 
