Government,Mexico, VTT , Low ,1940.0,250.00,350.00,679000.00,13580.00,665420.00,504400.00,161020.00,12/1/2013,12, December 
Government,Mexico, Amarilla , Low ,1865.0,260.00,350.00,652750.00,26110.00,626640.00,484900.00,141740.00,2/1/2014,2, February 
Government,Mexico, Paseo , Medium ,2417.0,10.00,350.00,845950.00,76135.50,769814.50,628420.00,141394.50,1/1/2014,1, January 
Government,Mexico, VTT , Low ,1642.0,250.00,350.00,574700.00,17241.00,557459.00,426920.00,130539.00,8/1/2014,8, August 
Government,Mexico, Carretera , Low ,1397.0,3.00,350.00,488950.00,4889.50,484060.50,363220.00,120840.50,10/1/2014,10, October 
Government,Mexico, VTT , Low ,1397.0,250.00,350.00,488950.00,4889.50,484060.50,363220.00,120840.50,10/1/2014,10, October 
Government,Mexico, Amarilla , Medium ,1679.0,260.00,350.00,587650.00,35259.00,552391.00,436540.00,115851.00,9/1/2014,9, September 
Government,Mexico, Paseo , High ,2851.0,10.00,350.00,997850.00,149677.50,848172.50,741260.00,106912.50,5/1/2014,5, May 
Government,Mexico, Carretera , Low ,1210.0,3.00,350.00,423500.00,4235.00,419265.00,314600.00,104665.00,3/1/2014,3, March 
Government,Mexico, Carretera , Medium ,1362.0,3.00,350.00,476700.00,38136.00,438564.00,354120.00,84444.00,12/1/2014,12, December 
Government,Mexico, Paseo , Medium ,1362.0,10.00,350.00,476700.00,38136.00,438564.00,354120.00,84444.00,12/1/2014,12, December 
Government,Mexico, Paseo , High ,2151.0,10.00,350.00,752850.00,112927.50,639922.50,559260.00,80662.50,11/1/2013,11, November 
Small Business,Mexico, VTT , Medium ,2747.0,250.00,300.00,824100.00,57687.00,766413.00,686750.00,79663.00,2/1/2014,2, February 
Government,Mexico, Montana , Medium ,980.0,5.00,350.00,343000.00,20580.00,322420.00,254800.00,67620.00,4/1/2014,4, April 
Government,Mexico, Velo , High ,1395.0,120.00,350.00,488250.00,58590.00,429660.00,362700.00,66960.00,7/1/2014,7, July 
Small Business,Mexico, Paseo , Medium ,2460.0,10.00,300.00,738000.00,59040.00,678960.00,615000.00,63960.00,6/1/2014,6, June 
Small Business,Mexico, Amarilla , Medium ,2460.0,260.00,300.00,738000.00,59040.00,678960.00,615000.00,63960.00,6/1/2014,6, June 
